data,deputy,link,assets
2017-03-28T00:00:00,Довбенко Михайло Володимирович,https://declarations.com.ua/declaration/nacp_b477c2e1-f0f8-4285-8031-125bcfe53d8f,10 554 188  
2017-04-07T00:00:00,Довгий Олесь Станіславович,https://declarations.com.ua/declaration/nacp_be27593b-2ba2-4fbb-8ca1-855e76394fac,69 158 901  
2017-03-30T00:00:00,Долженков Олександр Валерійович,https://declarations.com.ua/declaration/nacp_ca15138c-c855-4cdc-9f30-68af3a1a6259,3 016 723  
2017-03-29T00:00:00,Домбровський Олександр Георгійович,https://declarations.com.ua/declaration/nacp_aea749c5-4f9e-4e8a-bc9b-0bd57f87f943,14 127 258  
2017-03-30T00:00:00,Донець Тетяна Анатоліївна,https://declarations.com.ua/declaration/nacp_bea23c6d-1dc2-45f2-a85a-71f7e9719c9c,120 949 776  
2017-03-29T00:00:00,Драюк Сергій Євсейович,https://declarations.com.ua/declaration/nacp_7f82dff6-75fe-4dc6-aade-d2f0aa28a195,1 855 409  
2017-03-28T00:00:00,Дроздик Олександр Валерійович,https://declarations.com.ua/declaration/nacp_1a5591f1-52f8-465e-bdf5-7f9c9e88d2d8,778 881  
2017-03-29T00:00:00,Дубіль Валерій Олександрович,https://declarations.com.ua/declaration/nacp_303ea806-0b35-47b9-9d0d-0dc52544fa46,16 009 271  
2017-03-22T00:00:00,Дубінін Олександр Іванович,https://declarations.com.ua/declaration/nacp_6387ab66-b1e0-482f-8b22-afe6313110e9,20 691 846  
2017-04-04T00:00:00,Дубневич Богдан Васильович,https://declarations.com.ua/declaration/nacp_d444cc12-ad1b-4f36-87bb-defe3adbe862,452 862 908  
2017-04-05T00:00:00,Дубневич Ярослав Васильович,https://declarations.com.ua/declaration/nacp_15e64121-d53e-4f8a-ae94-1a0d372048d7,336 406 677  
2017-03-29T00:00:00,Дунаєв Сергій Володимирович,https://declarations.com.ua/declaration/nacp_59f8a95f-298f-4bdc-a747-55a04981179d,926 000  
2017-04-27T00:00:00,Дутчак Назарій Васильович,https://declarations.com.ua/declaration/nacp_c41693e2-39e5-4aac-a699-c017ebc8d641,2 272 237  
2017-03-29T00:00:00,Євлахов Анатолій Сергійович,https://declarations.com.ua/declaration/nacp_b85de0f0-b1d0-409e-9078-a34f52f4a900,44 623 355  
2017-03-30T00:00:00,Євтушок Сергій Миколайович,https://declarations.com.ua/declaration/nacp_6f450f51-a2b4-49a3-8e3a-10cf580e2a86,1 670 107  
2017-03-28T00:00:00,Єдаков Ярослав Юрійович,https://declarations.com.ua/declaration/nacp_44c454fe-e95f-41d0-8fea-2aa1dad190e8,100 261  
2017-02-13T00:00:00,Єднак Остап Володимирович,https://declarations.com.ua/declaration/nacp_5a1b3dcd-3519-4728-9c63-38069e261040,80 260  
2017-03-30T00:00:00,Єленський Віктор Євгенович,https://declarations.com.ua/declaration/nacp_65978312-d53d-4a9c-ad6b-36426eedcd31,1 234 006  
2017-03-31T00:00:00,Ємець Леонід Олександрович,https://declarations.com.ua/declaration/nacp_db7da0f8-46e0-440a-88dc-465587bcefb8,3 013 418  
2017-03-30T00:00:00,Єфімов Максим Вікторович,https://declarations.com.ua/declaration/nacp_d1ce46b2-c4ec-49aa-9997-40348cbfe6c8,128 982 832  
2017-03-28T00:00:00,Єфремова Ірина Олексіївна,https://declarations.com.ua/declaration/nacp_340d2940-cdd1-4595-841f-d021511c78c9,780 819  
2017-03-31T00:00:00,Жеваго Костянтин Валентинович,https://declarations.com.ua/declaration/nacp_dc009c6a-1fb6-4932-a4a0-4af7c1b79060,3 118 081  
2017-04-06T00:00:00,Жолобецький Олександр Олександрович,https://declarations.com.ua/declaration/nacp_4f104406-d8b1-4571-abdd-09de3edfce6f,4 876 442  
2017-03-24T00:00:00,Журжій Андрій Валерійович,https://declarations.com.ua/declaration/nacp_fd7aa40d-83fb-4966-b4e6-55a3ef303048,766 249  
2017-03-15T00:00:00,Заболотний Григорій Михайлович,https://declarations.com.ua/declaration/nacp_fbe9a444-c026-4637-91dc-55fbe37c6a28,1 676 064  
